id,title,link,author,tags,chapters,subscribers,views,comments,words
342495,LOSING MY SANITY,/story/view/342495,Icey_Likelots,"drama,eunhae,romance,superjunior,fluffy,haehyuk",53,2582,78060,2136,271578
671915,Ride Me,/story/view/671915,Eunhaemode,"donghae,eunhae,eunhyuk,hyukjae,romance",4,2557,26990,158,14460
660316,and you've got a smile that could light up this whole town,/story/view/660316,ifallelsefails,eunhae,2,2557,26990,347,11720
240415,My Senior Year,/story/view/240415,kyupeemin,"donghae,eunhae,eunhyuk,kyuhyun,kyumin,leeteuk,sungmin",70,2530,71980,2466,193259
283798,Arranged Marriage,/story/view/283798,miruechulli,"arrangedmarriage,donghae,eunhae,eunhyuk,mpreg",27,2506,52590,276,47287
1248015,Where I Belong,/story/view/1248015,FirstAnothersujufan,"eunhae,haehyuk,omegaverse",1,2500,21130,118,10207
490090,Dream Catcher,/story/view/490090,miyah16,"eunhae,friendship,kyumin,lovestory,romance,schoollife,superjunior,haehyuk,love,hyukhae,drame,angstromance,dreamcatcher",45,2496,51960,639,154185
222528,You Found Me,/story/view/222528,lovehyuk_suju,"abuse,angst,eunhae,romance,sihae,hyukhae,hurtcomfort",35,2477,52610,1109,75556
321049,Superman,/story/view/321049,Walalo_EFL,"angst,donghae,eunhae,eunhyuk,romance,hyukhae",22,2465,47400,622,61142
518300,My Best Friend,/story/view/518300,FirstAnothersujufan,"eunhae,romance,haehyuk,hyukhae",7,2442,33120,457,18367
304347,Naughty Mouth,/story/view/304347,ThanhXuan,"comedy,donghae,eunhae,eunhyuk,romance,wonkyu,hyukhae",22,2436,96960,1169,204811
1205894,My Incompetent Alpha,/story/view/1205894,FirstAnothersujufan,"eunhae,haehyuk,omegaverse",1,2399,22930,129,10421
1146074,Starlight Babe,/story/view/1146074,FirstAnothersujufan,"eunhae,romance,haehyuk",17,2359,39700,826,67406
205892,Until You're Mine,/story/view/205892,Eunhaeluv,"eunhae,fluff,romance,superjunior,angsty",43,2357,61650,1156,120888
348905,My CEO Boyfriend,/story/view/348905,staytruetome,"donghae,eunhae,eunhyuk,romance,superjunior,,haehyuk",41,2357,62630,1067,98701
885333,"at the end of the world, till the end of time",/story/view/885333,ifallelsefails,eunhae,2,2320,22940,277,7638
926584,Sleepless Nightmare,/story/view/926584,alex_supertramp,"donghae,eunhae,eunhyuk,schoollife,superjunior,hyukhae,studentandteacher",34,2315,53680,1327,98970
523433,The Prince and The star,/story/view/523433,sujulojo,"donghae,eunhae,eunhyuk,superjunior,wonkyu,haehyuk",12,2315,53680,454,41494
1059519,Maybe It Is Love,/story/view/1059519,sujueh32,"angst,arrangedmarriage,eunhae,hanchul,highschool,kyumin,romance,yunjae,yewook,hyukhae",43,2286,46730,657,114015
544299,Indulgence in Luxury,/story/view/544299,inkedblack,"donghae,eunhae,hyukjae",4,2270,23200,193,21247
285620,How Do You Heal a Broken Heart?,/story/view/285620,ifallelsefails,"donghae,eunhae,eunhyuk",9,2270,23200,459,35201
168830,Miseria Cantare,/story/view/168830,emii_vipelf,"angst,eunhae,kyuhyun,kyumin,sungmin,superjunior,kangteuk",17,2259,70980,1115,193895
405488,Somewhere Between the Lines,/story/view/405488,ifallelsefails,eunhae,7,2259,70980,359,28352
859233,Jerk From Flat 69,/story/view/859233,BabyHae27,"college,donghae,eunhae,eunhyuk,haehyuk",14,2188,27350,682,38005
673910,Little snowflake,/story/view/673910,crime-tsumi,"donghae,eunhae,eunhyuk,fairytale,romance,haehyuk,illustrated",3,2174,27350,265,12150
700665,Perfecting our Imperfections,/story/view/700665,splendid-times,"angst,donghae,eunhae,family,hyukjae,romance,marriage,heartwarming",28,2172,48120,1261,160578
755065,One Night Is All I Want,/story/view/755065,BabyHae27,"eunhae,haehyuk",3,2144,18550,133,7808
304248,Let's Become A Perfect Family!,/story/view/304248,willhaebemine,"donghae,eunhae,eunhyuk,",9,2123,62810,1336,9662
515395,[Indefinite Hiatus] HAEHYUK Completed Fanfics Recommendations,/story/view/515395,Haehyuk2Winchesters,"donghae,eunhae,eunhyuk,hyukjae,romance,haehyuk,recommendations",68,2123,82320,163,14173
302143,Dangerous Waves,/story/view/302143,RC_Lillie,"donghae,eunhae,heechul,hyukjae,kyuhyun,kyumin,sungmin",42,2102,102170,3620,43886
762786,The Runt of the Litter,/story/view/762786,WicketCriminals,"donghae,eunhae,hyukjae,autism",19,2077,40480,931,61150
901048,You who was sent to me,/story/view/901048,moonchant,"eunhae,superjunior,wolf,mpreg,hyukhae",22,2057,41890,916,109192
667062,Underaged,/story/view/667062,lhunfeniel,"donghae,eunhae,hyukjae,superjunior,hyukhae,pedohyuk",20,2043,31970,383,48547
950770,EunHaeHyuk Recommendations,/story/view/950770,Miiraa,"donghae,eunhae,hyukjae,haehyuk",121,2041,35300,71,3263
751683,His Favorite Cupcake,/story/view/751683,donghaeyah,eunhae,1,2040,14900,71,3121
815193,Spa Trip Aftermath,/story/view/815193,FirstAnothersujufan,"eunhae,hyukhae",1,1990,13540,52,3177
321872,The Kiss Dispenser [discontinued],/story/view/321872,crime-tsumi,"donghae,eunhae,eunhyuk,kyuhyun,kyumin,superjunior,wonkyu",49,1989,13540,2498,97622
288670,Taming of the monkey,/story/view/288670,RC_Lillie,"donghae,eunhae,eunhyuk,heechul,kyuhyun,superjunior",46,1988,76270,1449,41616
942942,Interrogatoire,/story/view/942942,ThanhXuan,eunhae,2,1965,19150,252,4839
359881, Heaven (Recomendation),/story/view/359881,BabyJang,"eunhae,kyumin,,yunjae,hunhan,sekai,baekyeol,kaisoo,recomendations",60,1949,37010,102,6702
841417,Behind Every Mask,/story/view/841417,kimssi,"angst,donghae,eunhae,hyukjae,romance,haehyuk",28,1929,41290,674,110205
544561,Howlin' For You,/story/view/544561,haekass,"eunhae,romance,supernatural,haehyuk,hyukhae",4,1927,41290,148,16294
650092,The Letters from That Boy,/story/view/650092,ThanhXuan,"eunhae,fluff,romance,humor,eunhaedesires",26,1894,64840,1416,61862
670470,Once Upon A Frog,/story/view/670470,NutellaCookie,"donghae,eunhae,hyukjae,haehyuk",8,1887,36170,979,30500
433783,Enchanted,/story/view/433783,bluestee,"donghae,eunhae,eunhyuk,haehyuk,seoullostandfound",4,1873,21900,358,14502
235666,Journey To Mokpo,/story/view/235666,AngelaMiina,"angst,donghae,eunhae,eunhyuk,romance,superjunior",35,1862,38380,643,114219
759430,"All Curves, No Edges",/story/view/759430,donghaeyah,eunhae,5,1853,20690,441,15878
92571,What Love Does,/story/view/92571,sujulojo,"donghae,eunhae,eunhyuk,superjunior,haehyuk",24,1853,20690,584,78127
412063,I-I-I'm a ()star,/story/view/412063,haekass,"eunhae,haehyuk,hyukhae,2woon",8,1846,28570,293,21961
1158328,He Was Loved,/story/view/1158328,FirstAnothersujufan,"eunhae,romance,haehyuk",3,1845,17270,129,12016
492879,you will always be a part of me,/story/view/492879,ifallelsefails,eunhae,1,1845,17270,256,9403
662055,He Who Stole The King's Heart,/story/view/662055,FirstAnothersujufan,"eunhae,haehyuk",2,1802,14780,174,6869
464844,Anothersujufan's Old Fic Repost,/story/view/464844,FirstAnothersujufan,"eunhae,haehyuk",54,1800,31390,262,246902
517721,The Art of Seduction,/story/view/517721,Shizue,"donghae,eunhae,eunhyuk,hyukjae,romance",31,1796,34420,738,70891
136635,Immortal Desire *Edited*,/story/view/136635,LenaMarrie,"eunhae,hanchul,superjunior,supernatural,vampire,mpreg",18,1777,38310,320,35100
175310,Silver Scales [DISCONTINUED],/story/view/175310,voodoobaby,"action,adventure,eunhae,fantasy,hanchul,kyumin,romance",22,1772,47810,1705,60368
890075,"Fake smile, sad eyes",/story/view/890075,MieyFishy,"angst,eunhae,romance,,mpreg,marriage",13,1759,22320,324,16486
415259,I'm not your cat,/story/view/415259,gnagna_onni,"angst,donghae,eunhae,eunhyuk,fantasy,romance,vampire",88,1753,134450,4113,505385
930541,Drawn on Me,/story/view/930541,Zythra,"donghae,eunhae,hyukjae,haehyuk",4,1749,134450,52,9514
81442,Maybe This is Love?,/story/view/81442,willhaebemine,"donghae,eunhae,fluff,hyukjae,superjunior,,hyukhae",39,1742,70300,2298,37080
1282356,Falling Together,/story/view/1282356,FirstAnothersujufan,"eunhae,haehyuk,omegaverse",7,1742,19590,397,34214
795782,Change,/story/view/795782,MissUda,"donghae,eunhae,eunhyuk,hyukjae,hyukhae",39,1742,44450,1029,86249
932584,Joy,/story/view/932584,Caande,"angst,donghae,eunhae,eunhyuk,superjunior",43,1738,44860,1055,182863
564289,Discipline,/story/view/564289,Peporo,"donghae,eunhae,eunhyuk,romance",39,1738,44860,719,47315
786335,"Hey, Cat. Eat!",/story/view/786335,donghaeyah,eunhae,5,1728,14520,197,16163
290389,I'll be watching you...,/story/view/290389,RC_Lillie,"donghae,eunhae,eunhyuk,heechul,kyuhyun,sungmin,superjunior",30,1725,65070,1411,28170
726438,That Baby is Mine *EDITING*,/story/view/726438,syohyukkie,"angst,donghae,eunhae,eunhyuk,fluff,henry,jaejoong,kangin,kibum,kyuhyun,kyumin,leedonghae,leeteuk,romance,ryeowook,schoollife,siwon,sungmin,superjunior,tvxq,,yesung,yunho,yunjae,zhoumi,sibum,yewook,baby,leehyukjae,lgbt",106,1715,37620,281,203173
568659,Puppy & Me,/story/view/568659,donghaeyah,"donghae,eunhae,eunhyuk,fluff",2,1706,18050,215,9950
693729,vibrant colours. ☁,/story/view/693729,infatuatedloveKH,"angst,eunhae,kyumin,romance,schoollife,superjunior",24,1699,31150,580,45437
697480,Bamboo Garden,/story/view/697480,VeronicaVaughn,"comedy,donghae,eunhae,eunhyuk,friendship,hyukjae,superjunior,espanol",19,1693,26810,246,34000
303521,Play with me...,/story/view/303521,RC_Lillie,"donghae,eunhae,eunhyuk,heechul,kyuhyun,sungmin,superjunior",17,1683,42420,995,16007
949124,Our Long Love's Day,/story/view/949124,catskilt,"eunhae,leedonghae,superjunior,leehyukjae,donghaeandeunhyuk",1,1677,17790,83,14206
926122,Our Crown,/story/view/926122,ThanhXuan,"comedy,eunhae,fluff,romance",12,1676,22700,416,33308
1070987,Marked,/story/view/1070987,bluestee,"donghae,eunhae,eunhyuk,supernatural,haehyuk",13,1638,22700,554,39010
697777,a love he thought he knew,/story/view/697777,inkedblack,eunhae,1,1638,22700,91,12720
119189,SMOKIN' HOT HYUKJAE,/story/view/119189,simihyuk,"eunhae,hanchul,kyumin,sichul,haehyuk,sihyuk",71,1627,43660,523,60080
424052,Amore,/story/view/424052,standstill,"donghae,eunhae,fantasy,fluff,hyukjae,hyukhae",3,1609,24920,259,18423
